algorithm,crypto_family,file_size,key_size,label_group,mode,original_file_id,original_type,path,sample_id,split,tool
Hybrid_Salsa20_RSA,hybrid_cipher_like,58730,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0002-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000036.enc,000036,train,pycryptodome
none,not_encrypted,1383,0,not_encrypted,,0003-csv,csv,data/generated\not_encrypted\000037.enc,000037,val,pycryptodome
gzip,compressed_only,640,0,compressed_only,,0003-csv,csv,data/generated\compressed_only\000038.enc,000038,val,pycryptodome
3DES,block_cipher_like,1396,192,3DES_like,CBC,0003-csv,csv,data/generated\3DES_like\000039.enc,000039,val,pycryptodome
ChaCha20,stream_cipher_like,1399,256,ChaCha20_Salsa20_like,,0003-csv,csv,data/generated\ChaCha20_Salsa20_like\000040.enc,000040,val,pycryptodome
XOR,weak_obfuscation_like,1383,128,XOR_like,REPEATING_KEY,0003-csv,csv,data/generated\XOR_like\000041.enc,000041,val,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,1668,256,hybrid_AES_RSA_like,CBC+OAEP,0003-csv,csv,data/generated\hybrid_AES_RSA_like\000042.enc,000042,val,pycryptodome
none,not_encrypted,275968,0,not_encrypted,,0003-doc,doc,data/generated\not_encrypted\000043.enc,000043,train,pycryptodome
gzip,compressed_only,173544,0,compressed_only,,0003-doc,doc,data/generated\compressed_only\000044.enc,000044,train,pycryptodome
Blowfish,block_cipher_like,275988,256,Blowfish_like,CBC,0003-doc,doc,data/generated\Blowfish_like\000045.enc,000045,train,pycryptodome
Salsa20,stream_cipher_like,275980,256,ChaCha20_Salsa20_like,,0003-doc,doc,data/generated\ChaCha20_Salsa20_like\000046.enc,000046,train,pycryptodome
XOR,weak_obfuscation_like,275968,128,XOR_like,REPEATING_KEY,0003-doc,doc,data/generated\XOR_like\000047.enc,000047,train,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,276240,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0003-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000048.enc,000048,train,pycryptodome
none,not_encrypted,160489864,0,not_encrypted,,0003-exe,exe,data/generated\not_encrypted\000049.enc,000049,test,pycryptodome
gzip,compressed_only,160492770,0,compressed_only,,0003-exe,exe,data/generated\compressed_only\000050.enc,000050,test,pycryptodome
DES,block_cipher_like,160489884,56,DES_like,CBC,0003-exe,exe,data/generated\DES_like\000051.enc,000051,test,pycryptodome
RC4,stream_cipher_like,160489864,256,RC4_like,STREAM,0003-exe,exe,data/generated\RC4_like\000052.enc,000052,test,pycryptodome
XOR,weak_obfuscation_like,160489864,128,XOR_like,REPEATING_KEY,0003-exe,exe,data/generated\XOR_like\000053.enc,000053,test,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,160490132,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0003-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000054.enc,000054,test,pycryptodome
none,not_encrypted,428,0,not_encrypted,,0004-csv,csv,data/generated\not_encrypted\000055.enc,000055,train,pycryptodome
gzip,compressed_only,189,0,compressed_only,,0004-csv,csv,data/generated\compressed_only\000056.enc,000056,train,pycryptodome
RC2,block_cipher_like,444,128,RC2_like,CBC,0004-csv,csv,data/generated\RC2_like\000057.enc,000057,train,pycryptodome
ChaCha20,stream_cipher_like,444,256,ChaCha20_Salsa20_like,,0004-csv,csv,data/generated\ChaCha20_Salsa20_like\000058.enc,000058,train,pycryptodome
XOR,weak_obfuscation_like,428,128,XOR_like,REPEATING_KEY,0004-csv,csv,data/generated\XOR_like\000059.enc,000059,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,708,256,hybrid_AES_RSA_like,CBC+OAEP,0004-csv,csv,data/generated\hybrid_AES_RSA_like\000060.enc,000060,train,pycryptodome
none,not_encrypted,80384,0,not_encrypted,,0004-doc,doc,data/generated\not_encrypted\000061.enc,000061,val,pycryptodome
gzip,compressed_only,33338,0,compressed_only,,0004-doc,doc,data/generated\compressed_only\000062.enc,000062,val,pycryptodome
CAST5,block_cipher_like,80404,128,CAST5_like,CBC,0004-doc,doc,data/generated\CAST5_like\000063.enc,000063,val,pycryptodome
Salsa20,stream_cipher_like,80396,256,ChaCha20_Salsa20_like,,0004-doc,doc,data/generated\ChaCha20_Salsa20_like\000064.enc,000064,val,pycryptodome
XOR,weak_obfuscation_like,80384,128,XOR_like,REPEATING_KEY,0004-doc,doc,data/generated\XOR_like\000065.enc,000065,val,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,80656,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0004-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000066.enc,000066,val,pycryptodome
none,not_encrypted,1379289,0,not_encrypted,,0004-exe,exe,data/generated\not_encrypted\000067.enc,000067,train,pycryptodome
gzip,compressed_only,1369898,0,compressed_only,,0004-exe,exe,data/generated\compressed_only\000068.enc,000068,train,pycryptodome
AES,block_cipher_like,1379316,256,AES_like,CBC,0004-exe,exe,data/generated\AES_like\000069.enc,000069,train,pycryptodome
RC4,stream_cipher_like,1379289,256,RC4_like,STREAM,0004-exe,exe,data/generated\RC4_like\000070.enc,000070,train,pycryptodome
XOR,weak_obfuscation_like,1379289,128,XOR_like,REPEATING_KEY,0004-exe,exe,data/generated\XOR_like\000071.enc,000071,train,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,1379557,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0004-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000072.enc,000072,train,pycryptodome
none,not_encrypted,3174,0,not_encrypted,,0005-csv,csv,data/generated\not_encrypted\000073.enc,000073,train,pycryptodome
gzip,compressed_only,980,0,compressed_only,,0005-csv,csv,data/generated\compressed_only\000074.enc,000074,train,pycryptodome
AES,block_cipher_like,3184,256,AES_like,ECB,0005-csv,csv,data/generated\AES_like\000075.enc,000075,train,pycryptodome
ChaCha20,stream_cipher_like,3190,256,ChaCha20_Salsa20_like,,0005-csv,csv,data/generated\ChaCha20_Salsa20_like\000076.enc,000076,train,pycryptodome
XOR,weak_obfuscation_like,3174,128,XOR_like,REPEATING_KEY,0005-csv,csv,data/generated\XOR_like\000077.enc,000077,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,3460,256,hybrid_AES_RSA_like,CBC+OAEP,0005-csv,csv,data/generated\hybrid_AES_RSA_like\000078.enc,000078,train,pycryptodome
none,not_encrypted,10125824,0,not_encrypted,,0005-doc,doc,data/generated\not_encrypted\000079.enc,000079,test,pycryptodome
gzip,compressed_only,9969034,0,compressed_only,,0005-doc,doc,data/generated\compressed_only\000080.enc,000080,test,pycryptodome
AES,block_cipher_like,10125836,256,AES_like,CTR,0005-doc,doc,data/generated\AES_like\000081.enc,000081,test,pycryptodome
Salsa20,stream_cipher_like,10125836,256,ChaCha20_Salsa20_like,,0005-doc,doc,data/generated\ChaCha20_Salsa20_like\000082.enc,000082,test,pycryptodome
XOR,weak_obfuscation_like,10125824,128,XOR_like,REPEATING_KEY,0005-doc,doc,data/generated\XOR_like\000083.enc,000083,test,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,10126096,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0005-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000084.enc,000084,test,pycryptodome
none,not_encrypted,113175,0,not_encrypted,,0005-exe,exe,data/generated\not_encrypted\000085.enc,000085,test,pycryptodome
gzip,compressed_only,20762,0,compressed_only,,0005-exe,exe,data/generated\compressed_only\000086.enc,000086,test,pycryptodome
AES,block_cipher_like,113195,256,AES_like,CFB,0005-exe,exe,data/generated\AES_like\000087.enc,000087,test,pycryptodome
RC4,stream_cipher_like,113175,256,RC4_like,STREAM,0005-exe,exe,data/generated\RC4_like\000088.enc,000088,test,pycryptodome
XOR,weak_obfuscation_like,113175,128,XOR_like,REPEATING_KEY,0005-exe,exe,data/generated\XOR_like\000089.enc,000089,test,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,113443,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0005-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000090.enc,000090,test,pycryptodome
none,not_encrypted,128,0,not_encrypted,,0006-csv,csv,data/generated\not_encrypted\000091.enc,000091,train,pycryptodome
gzip,compressed_only,129,0,compressed_only,,0006-csv,csv,data/generated\compressed_only\000092.enc,000092,train,pycryptodome
AES,block_cipher_like,148,256,AES_like,OFB,0006-csv,csv,data/generated\AES_like\000093.enc,000093,train,pycryptodome
ChaCha20,stream_cipher_like,144,256,ChaCha20_Salsa20_like,,0006-csv,csv,data/generated\ChaCha20_Salsa20_like\000094.enc,000094,train,pycryptodome
XOR,weak_obfuscation_like,128,128,XOR_like,REPEATING_KEY,0006-csv,csv,data/generated\XOR_like\000095.enc,000095,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,420,256,hybrid_AES_RSA_like,CBC+OAEP,0006-csv,csv,data/generated\hybrid_AES_RSA_like\000096.enc,000096,train,pycryptodome
none,not_encrypted,98816,0,not_encrypted,,0006-doc,doc,data/generated\not_encrypted\000097.enc,000097,train,pycryptodome
gzip,compressed_only,36798,0,compressed_only,,0006-doc,doc,data/generated\compressed_only\000098.enc,000098,train,pycryptodome
AES,block_cipher_like,98848,256,AES_like,GCM,0006-doc,doc,data/generated\AES_like\000099.enc,000099,train,pycryptodome
Salsa20,stream_cipher_like,98828,256,ChaCha20_Salsa20_like,,0006-doc,doc,data/generated\ChaCha20_Salsa20_like\000100.enc,000100,train,pycryptodome
XOR,weak_obfuscation_like,98816,128,XOR_like,REPEATING_KEY,0006-doc,doc,data/generated\XOR_like\000101.enc,000101,train,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,99088,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0006-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000102.enc,000102,train,pycryptodome
none,not_encrypted,23811,0,not_encrypted,,0006-exe,exe,data/generated\not_encrypted\000103.enc,000103,train,pycryptodome
gzip,compressed_only,9456,0,compressed_only,,0006-exe,exe,data/generated\compressed_only\000104.enc,000104,train,pycryptodome
3DES,block_cipher_like,23828,192,3DES_like,CBC,0006-exe,exe,data/generated\3DES_like\000105.enc,000105,train,pycryptodome
RC4,stream_cipher_like,23811,256,RC4_like,STREAM,0006-exe,exe,data/generated\RC4_like\000106.enc,000106,train,pycryptodome
XOR,weak_obfuscation_like,23811,128,XOR_like,REPEATING_KEY,0006-exe,exe,data/generated\XOR_like\000107.enc,000107,train,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,24079,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0006-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000108.enc,000108,train,pycryptodome
none,not_encrypted,10871,0,not_encrypted,,0007-csv,csv,data/generated\not_encrypted\000109.enc,000109,train,pycryptodome
gzip,compressed_only,2942,0,compressed_only,,0007-csv,csv,data/generated\compressed_only\000110.enc,000110,train,pycryptodome
Blowfish,block_cipher_like,10884,256,Blowfish_like,CBC,0007-csv,csv,data/generated\Blowfish_like\000111.enc,000111,train,pycryptodome
ChaCha20,stream_cipher_like,10887,256,ChaCha20_Salsa20_like,,0007-csv,csv,data/generated\ChaCha20_Salsa20_like\000112.enc,000112,train,pycryptodome
XOR,weak_obfuscation_like,10871,128,XOR_like,REPEATING_KEY,0007-csv,csv,data/generated\XOR_like\000113.enc,000113,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,11156,256,hybrid_AES_RSA_like,CBC+OAEP,0007-csv,csv,data/generated\hybrid_AES_RSA_like\000114.enc,000114,train,pycryptodome
none,not_encrypted,201728,0,not_encrypted,,0007-doc,doc,data/generated\not_encrypted\000115.enc,000115,train,pycryptodome
gzip,compressed_only,83435,0,compressed_only,,0007-doc,doc,data/generated\compressed_only\000116.enc,000116,train,pycryptodome
DES,block_cipher_like,201748,56,DES_like,CBC,0007-doc,doc,data/generated\DES_like\000117.enc,000117,train,pycryptodome
Salsa20,stream_cipher_like,201740,256,ChaCha20_Salsa20_like,,0007-doc,doc,data/generated\ChaCha20_Salsa20_like\000118.enc,000118,train,pycryptodome
XOR,weak_obfuscation_like,201728,128,XOR_like,REPEATING_KEY,0007-doc,doc,data/generated\XOR_like\000119.enc,000119,train,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,202000,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0007-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000120.enc,000120,train,pycryptodome
none,not_encrypted,3328,0,not_encrypted,,0007-exe,exe,data/generated\not_encrypted\000121.enc,000121,train,pycryptodome
gzip,compressed_only,1905,0,compressed_only,,0007-exe,exe,data/generated\compressed_only\000122.enc,000122,train,pycryptodome
RC2,block_cipher_like,3348,128,RC2_like,CBC,0007-exe,exe,data/generated\RC2_like\000123.enc,000123,train,pycryptodome
RC4,stream_cipher_like,3328,256,RC4_like,STREAM,0007-exe,exe,data/generated\RC4_like\000124.enc,000124,train,pycryptodome
XOR,weak_obfuscation_like,3328,128,XOR_like,REPEATING_KEY,0007-exe,exe,data/generated\XOR_like\000125.enc,000125,train,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,3596,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0007-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000126.enc,000126,train,pycryptodome
none,not_encrypted,20332,0,not_encrypted,,0008-csv,csv,data/generated\not_encrypted\000127.enc,000127,train,pycryptodome
gzip,compressed_only,3626,0,compressed_only,,0008-csv,csv,data/generated\compressed_only\000128.enc,000128,train,pycryptodome
CAST5,block_cipher_like,20348,128,CAST5_like,CBC,0008-csv,csv,data/generated\CAST5_like\000129.enc,000129,train,pycryptodome
ChaCha20,stream_cipher_like,20348,256,ChaCha20_Salsa20_like,,0008-csv,csv,data/generated\ChaCha20_Salsa20_like\000130.enc,000130,train,pycryptodome
XOR,weak_obfuscation_like,20332,128,XOR_like,REPEATING_KEY,0008-csv,csv,data/generated\XOR_like\000131.enc,000131,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,20612,256,hybrid_AES_RSA_like,CBC+OAEP,0008-csv,csv,data/generated\hybrid_AES_RSA_like\000132.enc,000132,train,pycryptodome
none,not_encrypted,65024,0,not_encrypted,,0008-doc,doc,data/generated\not_encrypted\000133.enc,000133,val,pycryptodome
gzip,compressed_only,22237,0,compressed_only,,0008-doc,doc,data/generated\compressed_only\000134.enc,000134,val,pycryptodome
AES,block_cipher_like,65060,256,AES_like,CBC,0008-doc,doc,data/generated\AES_like\000135.enc,000135,val,pycryptodome
Salsa20,stream_cipher_like,65036,256,ChaCha20_Salsa20_like,,0008-doc,doc,data/generated\ChaCha20_Salsa20_like\000136.enc,000136,val,pycryptodome
XOR,weak_obfuscation_like,65024,128,XOR_like,REPEATING_KEY,0008-doc,doc,data/generated\XOR_like\000137.enc,000137,val,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,65296,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0008-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000138.enc,000138,val,pycryptodome
none,not_encrypted,288214,0,not_encrypted,,0008-exe,exe,data/generated\not_encrypted\000139.enc,000139,train,pycryptodome
gzip,compressed_only,97016,0,compressed_only,,0008-exe,exe,data/generated\compressed_only\000140.enc,000140,train,pycryptodome
AES,block_cipher_like,288224,256,AES_like,ECB,0008-exe,exe,data/generated\AES_like\000141.enc,000141,train,pycryptodome
RC4,stream_cipher_like,288214,256,RC4_like,STREAM,0008-exe,exe,data/generated\RC4_like\000142.enc,000142,train,pycryptodome
XOR,weak_obfuscation_like,288214,128,XOR_like,REPEATING_KEY,0008-exe,exe,data/generated\XOR_like\000143.enc,000143,train,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,288482,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0008-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000144.enc,000144,train,pycryptodome
none,not_encrypted,16016,0,not_encrypted,,0009-csv,csv,data/generated\not_encrypted\000145.enc,000145,val,pycryptodome
gzip,compressed_only,3709,0,compressed_only,,0009-csv,csv,data/generated\compressed_only\000146.enc,000146,val,pycryptodome
AES,block_cipher_like,16028,256,AES_like,CTR,0009-csv,csv,data/generated\AES_like\000147.enc,000147,val,pycryptodome
ChaCha20,stream_cipher_like,16032,256,ChaCha20_Salsa20_like,,0009-csv,csv,data/generated\ChaCha20_Salsa20_like\000148.enc,000148,val,pycryptodome
XOR,weak_obfuscation_like,16016,128,XOR_like,REPEATING_KEY,0009-csv,csv,data/generated\XOR_like\000149.enc,000149,val,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,16308,256,hybrid_AES_RSA_like,CBC+OAEP,0009-csv,csv,data/generated\hybrid_AES_RSA_like\000150.enc,000150,val,pycryptodome
none,not_encrypted,457728,0,not_encrypted,,0009-doc,doc,data/generated\not_encrypted\000151.enc,000151,train,pycryptodome
gzip,compressed_only,62191,0,compressed_only,,0009-doc,doc,data/generated\compressed_only\000152.enc,000152,train,pycryptodome
AES,block_cipher_like,457748,256,AES_like,CFB,0009-doc,doc,data/generated\AES_like\000153.enc,000153,train,pycryptodome
Salsa20,stream_cipher_like,457740,256,ChaCha20_Salsa20_like,,0009-doc,doc,data/generated\ChaCha20_Salsa20_like\000154.enc,000154,train,pycryptodome
XOR,weak_obfuscation_like,457728,128,XOR_like,REPEATING_KEY,0009-doc,doc,data/generated\XOR_like\000155.enc,000155,train,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,458000,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0009-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000156.enc,000156,train,pycryptodome
none,not_encrypted,2338630,0,not_encrypted,,0009-exe,exe,data/generated\not_encrypted\000157.enc,000157,test,pycryptodome
gzip,compressed_only,2325602,0,compressed_only,,0009-exe,exe,data/generated\compressed_only\000158.enc,000158,test,pycryptodome
AES,block_cipher_like,2338650,256,AES_like,OFB,0009-exe,exe,data/generated\AES_like\000159.enc,000159,test,pycryptodome
RC4,stream_cipher_like,2338630,256,RC4_like,STREAM,0009-exe,exe,data/generated\RC4_like\000160.enc,000160,test,pycryptodome
XOR,weak_obfuscation_like,2338630,128,XOR_like,REPEATING_KEY,0009-exe,exe,data/generated\XOR_like\000161.enc,000161,test,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,2338898,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0009-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000162.enc,000162,test,pycryptodome
none,not_encrypted,141,0,not_encrypted,,0010-csv,csv,data/generated\not_encrypted\000163.enc,000163,train,pycryptodome
gzip,compressed_only,139,0,compressed_only,,0010-csv,csv,data/generated\compressed_only\000164.enc,000164,train,pycryptodome
AES,block_cipher_like,173,256,AES_like,GCM,0010-csv,csv,data/generated\AES_like\000165.enc,000165,train,pycryptodome
ChaCha20,stream_cipher_like,157,256,ChaCha20_Salsa20_like,,0010-csv,csv,data/generated\ChaCha20_Salsa20_like\000166.enc,000166,train,pycryptodome
XOR,weak_obfuscation_like,141,128,XOR_like,REPEATING_KEY,0010-csv,csv,data/generated\XOR_like\000167.enc,000167,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,420,256,hybrid_AES_RSA_like,CBC+OAEP,0010-csv,csv,data/generated\hybrid_AES_RSA_like\000168.enc,000168,train,pycryptodome
none,not_encrypted,52224,0,not_encrypted,,0010-doc,doc,data/generated\not_encrypted\000169.enc,000169,train,pycryptodome
gzip,compressed_only,13579,0,compressed_only,,0010-doc,doc,data/generated\compressed_only\000170.enc,000170,train,pycryptodome
3DES,block_cipher_like,52244,192,3DES_like,CBC,0010-doc,doc,data/generated\3DES_like\000171.enc,000171,train,pycryptodome
Salsa20,stream_cipher_like,52236,256,ChaCha20_Salsa20_like,,0010-doc,doc,data/generated\ChaCha20_Salsa20_like\000172.enc,000172,train,pycryptodome
XOR,weak_obfuscation_like,52224,128,XOR_like,REPEATING_KEY,0010-doc,doc,data/generated\XOR_like\000173.enc,000173,train,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_cipher_like,52496,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0010-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000174.enc,000174,train,pycryptodome
none,not_encrypted,893217,0,not_encrypted,,0010-exe,exe,data/generated\not_encrypted\000175.enc,000175,test,pycryptodome
gzip,compressed_only,229069,0,compressed_only,,0010-exe,exe,data/generated\compressed_only\000176.enc,000176,test,pycryptodome
Blowfish,block_cipher_like,893236,256,Blowfish_like,CBC,0010-exe,exe,data/generated\Blowfish_like\000177.enc,000177,test,pycryptodome
RC4,stream_cipher_like,893217,256,RC4_like,STREAM,0010-exe,exe,data/generated\RC4_like\000178.enc,000178,test,pycryptodome
XOR,weak_obfuscation_like,893217,128,XOR_like,REPEATING_KEY,0010-exe,exe,data/generated\XOR_like\000179.enc,000179,test,pycryptodome
Hybrid_Salsa20_RSA,hybrid_cipher_like,893485,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0010-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000180.enc,000180,test,pycryptodome
none,not_encrypted,116,0,not_encrypted,,0011-csv,csv,data/generated\not_encrypted\000181.enc,000181,train,pycryptodome
gzip,compressed_only,119,0,compressed_only,,0011-csv,csv,data/generated\compressed_only\000182.enc,000182,train,pycryptodome
DES,block_cipher_like,132,56,DES_like,CBC,0011-csv,csv,data/generated\DES_like\000183.enc,000183,train,pycryptodome
ChaCha20,stream_cipher_like,132,256,ChaCha20_Salsa20_like,,0011-csv,csv,data/generated\ChaCha20_Salsa20_like\000184.enc,000184,train,pycryptodome
XOR,weak_obfuscation_like,116,128,XOR_like,REPEATING_KEY,0011-csv,csv,data/generated\XOR_like\000185.enc,000185,train,pycryptodome
Hybrid_AES_RSA,hybrid_cipher_like,404,256,hybrid_AES_RSA_like,CBC+OAEP,0011-csv,csv,data/generated\hybrid_AES_RSA_like\000186.enc,000186,train,pycryptodome
none,not_encrypted,166400,0,not_encrypted,,0011-doc,doc,data/generated\not_encrypted\000187.enc,000187,train,pycryptodome
gzip,compressed_only,43548,0,compressed_only,,0011-doc,doc,data/generated\compressed_only\000188.enc,000188,train,pycryptodome
RC2,block_cipher_like,166420,128,RC2_like,CBC,0011-doc,doc,data/generated\RC2_like\000189.enc,000189,train,pycryptodome
